MSN,StateCode,Year,Data
AVACP,US,1988,9705
AVACP,US,1989,9427
AVACP,US,1990,8910
AVACP,US,1991,8265
AVACP,US,1992,8133
AVACP,US,1993,7606
AVACP,US,1994,7555
AVACP,US,1995,7841
AVACP,US,1996,7400
AVACP,US,1997,7864
AVACP,US,1998,7032
AVACP,US,1999,7760
AVACP,US,2000,7188
AVACP,US,2001,6921
AVACP,US,2002,6682
AVACP,US,2003,5987
AVACP,US,2004,6189
AVACP,US,2005,7006
AVACP,US,2006,6626
AVACP,US,2007,6258
AVACP,US,2008,5603
AVACP,US,2009,5261
AVACP,US,2010,5358
AVACP,US,2011,5360
AVACP,US,2012,4975
AVACP,US,2013,4429
AVACP,US,2014,4298
AVACP,US,2015,4188
AVACV,US,1970,218
AVACV,US,1981,610
AVACV,US,1989,394
AVACV,US,1995,331
AVACV,US,1998,288
AVTCB,US,1960,297903
AVTCB,US,1961,290396
AVTCB,US,1962,262915
AVTCB,US,1963,253193
AVTCB,US,1964,235025
AVTCB,US,1965,221592
AVTCB,US,1966,194091
AVTCB,US,1967,166099
AVTCB,US,1968,154590
AVTCB,US,1969,128981
AVTCB,US,1970,100470
AVTCB,US,1971,90319
AVTCB,US,1972,85437
AVTCB,US,1973,83448
AVTCB,US,1974,81853
AVTCB,US,1975,71010
AVTCB,US,1976,67451
AVTCB,US,1977,70329
AVTCB,US,1978,71454
AVTCB,US,1979,70314
AVTCB,US,1980,64347
AVTCB,US,1981,56270
AVTCB,US,1982,46977
AVTCB,US,1983,47673
AVTCB,US,1984,43877
AVTCB,US,1985,50324
AVTCB,US,1986,58925
AVTCB,US,1987,45639
AVTCB,US,1988,48991
AVTCB,US,1989,47587
AVTCB,US,1990,44978
AVTCB,US,1991,41722
AVTCB,US,1992,41055
AVTCB,US,1993,38395
AVTCB,US,1994,38138
AVTCB,US,1995,39581
AVTCB,US,1996,37355
AVTCB,US,1997,39697
AVTCB,US,1998,35498
AVTCB,US,1999,39172
AVTCB,US,2000,36285
AVTCB,US,2001,34937
AVTCB,US,2002,33731
AVTCB,US,2003,30222
AVTCB,US,2004,31242
AVTCB,US,2005,35366
AVTCB,US,2006,33448
AVTCB,US,2007,31590
AVTCB,US,2008,28284
AVTCB,US,2009,26558
AVTCB,US,2010,27047
AVTCB,US,2011,27057
AVTCB,US,2012,25114
AVTCB,US,2013,22358
AVTCB,US,2014,21696
AVTCB,US,2015,21141
AVTCP,US,1960,59014
AVTCP,US,1961,57527
AVTCP,US,1962,52083
AVTCP,US,1963,50157
AVTCP,US,1964,46558
AVTCP,US,1965,43897
AVTCP,US,1966,38449
AVTCP,US,1967,32904
AVTCP,US,1968,30624
AVTCP,US,1969,25551
AVTCP,US,1970,19903
AVTCP,US,1971,17892
AVTCP,US,1972,16925
AVTCP,US,1973,16531
AVTCP,US,1974,16215
AVTCP,US,1975,14067
AVTCP,US,1976,13362
AVTCP,US,1977,13932
AVTCP,US,1978,14155
AVTCP,US,1979,13929
AVTCP,US,1980,12747
AVTCP,US,1981,11147
AVTCP,US,1982,9306
AVTCP,US,1983,9444
AVTCP,US,1984,8692
AVTCP,US,1985,9969
AVTCP,US,1986,11673
AVTCP,US,1987,9041
AVTCP,US,1988,9705
AVTCP,US,1989,9427
AVTCP,US,1990,8910
AVTCP,US,1991,8265
AVTCP,US,1992,8133
AVTCP,US,1993,7606
AVTCP,US,1994,7555
AVTCP,US,1995,7841
AVTCP,US,1996,7400
AVTCP,US,1997,7864
AVTCP,US,1998,7032
AVTCP,US,1999,7760
AVTCP,US,2000,7188
